date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:12	75685/75685	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2017:27:20%20GMT	https://templates.seekviral.com/yoso/pages/landing1/index.html	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/index.html	(from )
16:19:12	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Mar%202025%2011:19:13%20GMT	https://templates.seekviral.com/robots.txt		(from )
16:19:13	104502/104502	---M-Z	200	added ('OK')	text/css	etag:%22673e23f8-6d58%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.1/css/all.min.css	C:/My%20Web%20Sites/TestProject/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.1/css/all.min.css	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:14	419/419	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202025%2018:51:14%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/dist/css/colors.css	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/dist/css/colors.css	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:14	232803/232803	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Feb%202024%2020:04:44%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/dist/framework/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/dist/framework/bootstrap/css/bootstrap.min.css	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:14	34675/34675	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Jan%202025%2011:26:06%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/dist/css/theme.css	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/dist/css/theme.css	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:15	7486/7486	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Jan%202025%2016:07:54%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/dist/css/responsive.css	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/dist/css/responsive.css	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:15	18453/18453	---M-Z	200	added ('OK')	text/css	etag:W/%224815-JKiTwld7EUp2nOh8l//b/koDfi0%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/My%20Web%20Sites/TestProject/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:15	1844/1844	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Dec%202024%2019:50:04%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/dist/css/animation.css	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/dist/css/animation.css	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:16	503/503	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202025%2016:35:02%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/images/header/icon.png	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/images/header/icon.png	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:16	1266/1266	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202025%2016:35:02%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/images/header/ABS3.png	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/images/header/ABS3.png	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:16	9738/9738	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202025%2016:35:02%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/images/header/ABS1.png	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/images/header/ABS1.png	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:16	7417/7417	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202025%2022:16:40%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/images/header/ABS2.png	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/images/header/ABS2.png	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:17	2232/2232	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202025%2016:35:02%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/py.png	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/py.png	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:17	2151/2151	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202025%2016:35:02%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/csharp.png	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/csharp.png	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:17	653/653	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202025%2016:35:02%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/js.png	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/js.png	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:18	1545/1545	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202025%2016:35:02%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/css.png	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/css.png	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:18	2348/2348	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202025%2016:35:02%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/perl.png	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/perl.png	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
16:19:18	1846/1846	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202025%2016:35:02%20GMT	https://templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/ruby.png	C:/My%20Web%20Sites/TestProject/templates.seekviral.com/yoso/pages/landing1/assets/images/marquee/ruby.png	(from https://templates.seekviral.com/yoso/pages/landing1/index.html)
